user_id,role,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,calculated_sus_score,tam_perceived_usefulness,tam_perceived_ease_of_use
USR_059,Mahasiswa,3,1,5,2,5,2,5,1,3,1,85.0,4.41,3.96
USR_060,Dosen,4,3,4,2,3,1,4,2,4,1,75.0,4.95,5.19
USR_061,Mahasiswa,4,1,5,3,4,1,4,3,4,2,77.5,4.78,4.94
USR_062,Dosen,4,2,5,2,3,2,3,3,5,1,75.0,4.1,3.2
USR_063,Mahasiswa,5,1,4,2,4,2,5,2,4,2,82.5,4.13,4.31
USR_064,Staff Tendik,4,1,5,1,5,2,5,2,4,2,87.5,4.7,3.51
USR_065,Mahasiswa,4,2,5,2,5,2,4,2,4,2,80.0,5.37,4.11
USR_066,Mahasiswa,4,2,4,1,3,2,5,1,5,1,85.0,4.3,4.04
USR_067,Mahasiswa,4,3,4,2,4,1,5,3,4,1,77.5,5.18,3.37
USR_068,Mahasiswa,4,1,4,2,5,2,4,2,4,1,82.5,4.08,4.64
USR_069,Mahasiswa,3,1,4,2,4,1,4,2,4,1,80.0,4.68,4.12
USR_070,Mahasiswa,5,2,4,1,4,2,4,1,3,2,80.0,4.75,3.83
USR_071,Dosen,5,2,3,1,5,2,5,1,3,1,85.0,4.0,3.74
USR_072,Mahasiswa,5,1,3,2,5,3,4,1,4,1,82.5,3.83,4.08
USR_073,Mahasiswa,4,1,4,1,3,1,5,3,3,1,80.0,4.77,4.24
USR_074,Dosen,4,1,5,1,4,1,5,2,4,2,87.5,3.93,3.93
USR_075,Dosen,5,3,4,1,5,1,4,1,4,2,85.0,3.75,2.3
USR_076,Mahasiswa,4,1,5,3,4,1,5,3,5,1,85.0,3.86,4.01
USR_077,Mahasiswa,4,1,4,2,3,1,4,1,4,1,82.5,3.93,3.14
USR_078,Mahasiswa,3,1,4,1,5,3,4,1,4,1,82.5,4.63,3.87
USR_079,Dosen,4,1,4,1,3,1,5,1,4,1,87.5,4.46,3.16
USR_080,Dosen,4,1,4,1,5,1,5,2,5,2,90.0,4.56,3.15
USR_081,Mahasiswa,4,2,4,2,4,2,4,3,4,2,72.5,4.41,4.74
USR_082,Dosen,4,1,5,2,5,2,5,1,3,1,87.5,3.9,3.81
USR_083,Dosen,4,2,4,1,4,2,5,3,5,1,82.5,4.55,3.76
USR_084,Mahasiswa,5,1,5,1,4,1,4,1,4,3,87.5,4.79,4.29
USR_085,Staff Tendik,5,2,5,1,3,2,5,3,4,1,82.5,4.49,3.78
USR_086,Mahasiswa,5,3,4,2,4,1,3,2,4,2,75.0,4.42,5.26
USR_087,Mahasiswa,5,2,3,2,5,1,4,2,5,1,85.0,3.82,3.84
USR_088,Mahasiswa,5,2,5,1,5,3,4,1,4,1,87.5,4.31,4.22
USR_089,Mahasiswa,3,1,4,1,4,1,5,3,5,1,85.0,3.79,4.58
USR_090,Mahasiswa,4,1,3,1,4,2,5,2,5,1,85.0,4.19,4.96
USR_091,Staff Tendik,3,2,5,3,5,2,4,1,4,3,75.0,3.38,3.55
USR_092,Mahasiswa,5,3,3,1,5,1,4,2,4,1,82.5,3.38,3.75
USR_093,Mahasiswa,5,2,5,2,4,3,5,1,4,1,85.0,4.1,4.76
USR_094,Mahasiswa,4,2,5,2,4,1,3,3,4,1,77.5,3.93,4.49
USR_095,Staff Tendik,5,2,4,1,4,2,5,1,4,1,87.5,4.25,4.65
USR_096,Mahasiswa,3,1,4,1,5,3,5,2,5,1,85.0,4.13,3.18
USR_097,Mahasiswa,5,1,4,1,3,2,4,2,5,1,85.0,4.22,4.93
USR_098,Mahasiswa,4,2,4,2,5,3,5,1,5,2,82.5,4.5,3.54
USR_099,Mahasiswa,3,3,4,2,4,1,4,1,4,1,77.5,3.97,4.12
USR_100,Staff Tendik,4,1,5,2,5,2,5,1,5,1,92.5,4.09,3.91
