transaction_id,items
TRX-8041,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8042,"Webcam, USB Microphone, Ring Light, Laptop, DisplayPort Cable"
TRX-8043,"Smartphone, Powerbank, Fast Charger"
TRX-8044,"Laptop, Wireless Mouse, Laptop Bag, Headset"
TRX-8045,"Laptop, Mechanical Keyboard, Mouse Pad, Smartphone"
TRX-8046,"Mechanical Keyboard, Wireless Mouse, Headset"
TRX-8047,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8048,"Webcam, USB Microphone, Ring Light, Powerbank, Phone Case"
TRX-8049,"Laptop, Mechanical Keyboard, Mouse Pad, Wireless Mouse, Monitor"
TRX-8050,"Smartphone, Powerbank, Fast Charger, Mechanical Keyboard, Bluetooth Speaker"
TRX-8051,"External SSD, USB Hub, Laptop Stand, Wireless Mouse"
TRX-8052,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8053,"Laptop, Mechanical Keyboard, Mouse Pad, Webcam"
TRX-8054,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8055,"Webcam, USB Microphone, Ring Light"
TRX-8056,"Laptop, Wireless Mouse, Laptop Bag, DisplayPort Cable, Mechanical Keyboard"
TRX-8057,"Webcam, USB Microphone, Ring Light"
TRX-8058,"Laptop, Wireless Mouse, Laptop Bag, Headset, Laptop Stand"
TRX-8059,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8060,"Laptop, Wireless Mouse, Laptop Bag, USB Hub, Screen Protector"
TRX-8061,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8062,"Laptop, Mechanical Keyboard, Mouse Pad, USB Hub"
TRX-8063,"Smartphone, Screen Protector, Phone Case, HDMI Cable, Headset"
TRX-8064,"External SSD, USB Hub, Laptop Stand, Smartphone, Phone Case"
TRX-8065,"Smartphone, Screen Protector, Phone Case, Mouse Pad"
TRX-8066,"Monitor, HDMI Cable, DisplayPort Cable, Fast Charger, USB Hub"
TRX-8067,"Smartphone, Screen Protector, Phone Case"
TRX-8068,"Monitor, HDMI Cable, DisplayPort Cable, Laptop"
TRX-8069,"Smartphone, Screen Protector, Phone Case"
TRX-8070,"Laptop, Wireless Mouse, Laptop Bag, Screen Protector"
TRX-8071,"Smartphone, Powerbank, Fast Charger, Screen Protector, Smartwatch"
TRX-8072,"External SSD, USB Hub, Laptop Stand, Monitor"
TRX-8073,"Mechanical Keyboard, Wireless Mouse, Headset, Monitor, Smartphone"
TRX-8074,"Laptop, Mechanical Keyboard, Mouse Pad, USB Microphone"
TRX-8075,"Smartphone, Powerbank, Fast Charger, Phone Case"
TRX-8076,"External SSD, USB Hub, Laptop Stand, USB Microphone"
TRX-8077,"Mechanical Keyboard, Wireless Mouse, Headset, Screen Protector, DisplayPort Cable"
TRX-8078,"Smartphone, Screen Protector, Phone Case, HDMI Cable"
TRX-8079,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8080,"Laptop, Wireless Mouse, Laptop Bag, Fast Charger"
TRX-8081,"External SSD, USB Hub, Laptop Stand"
TRX-8082,"Mechanical Keyboard, Wireless Mouse, Headset"
TRX-8083,"Laptop, Wireless Mouse, Laptop Bag"
TRX-8084,"Monitor, HDMI Cable, DisplayPort Cable"
TRX-8085,"Monitor, HDMI Cable, DisplayPort Cable, External SSD, Phone Case"
TRX-8086,"Smartphone, Screen Protector, Phone Case"
TRX-8087,"Smartphone, Screen Protector, Phone Case, Laptop"
TRX-8088,"Smartphone, Screen Protector, Phone Case"
TRX-8089,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8090,"Smartphone, Powerbank, Fast Charger"
TRX-8091,"Smartphone, Powerbank, Fast Charger"
TRX-8092,"Mechanical Keyboard, Wireless Mouse, Headset, Laptop Bag"
TRX-8093,"Smartphone, Screen Protector, Phone Case"
TRX-8094,"Smartphone, Powerbank, Fast Charger, Monitor, Laptop Stand"
TRX-8095,"Webcam, USB Microphone, Ring Light, Wireless Mouse"
TRX-8096,"Smartphone, Powerbank, Fast Charger, Mouse Pad, Monitor"
TRX-8097,"Smartphone, Powerbank, Fast Charger"
TRX-8098,"Monitor, HDMI Cable, DisplayPort Cable, Screen Protector, Laptop Bag"
TRX-8099,"External SSD, USB Hub, Laptop Stand, Smartphone"
TRX-8100,"Webcam, USB Microphone, Ring Light"
TRX-8101,"External SSD, USB Hub, Laptop Stand"
TRX-8102,"Mechanical Keyboard, Wireless Mouse, Headset, USB Microphone, Powerbank"
TRX-8103,"Webcam, USB Microphone, Ring Light, Screen Protector"
TRX-8104,"Smartphone, Powerbank, Fast Charger, Phone Case, DisplayPort Cable"
TRX-8105,"Smartphone, Powerbank, Fast Charger"
TRX-8106,"Webcam, USB Microphone, Ring Light, Powerbank, External SSD"
TRX-8107,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8108,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8109,"Mechanical Keyboard, Wireless Mouse, Headset"
TRX-8110,"Laptop, Wireless Mouse, Laptop Bag, Headset, Webcam"
TRX-8111,"External SSD, USB Hub, Laptop Stand, USB Microphone, Monitor"
TRX-8112,"Monitor, HDMI Cable, DisplayPort Cable"
TRX-8113,"Smartphone, Screen Protector, Phone Case, Bluetooth Speaker, Laptop Bag"
TRX-8114,"Mechanical Keyboard, Wireless Mouse, Headset, Ring Light, External SSD"
TRX-8115,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8116,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8117,"Laptop, Wireless Mouse, Laptop Bag, Screen Protector, Smartwatch"
TRX-8118,"Mechanical Keyboard, Wireless Mouse, Headset"
TRX-8119,"Monitor, HDMI Cable, DisplayPort Cable"
TRX-8120,"Smartphone, Screen Protector, Phone Case, Laptop, Fast Charger"
TRX-8121,"Monitor, HDMI Cable, DisplayPort Cable, USB Hub"
TRX-8122,"Laptop, Wireless Mouse, Laptop Bag, DisplayPort Cable"
TRX-8123,"Smartphone, Powerbank, Fast Charger"
TRX-8124,"Smartphone, Powerbank, Fast Charger, Webcam, Monitor"
TRX-8125,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8126,"Smartphone, Powerbank, Fast Charger, Screen Protector, Webcam"
TRX-8127,"External SSD, USB Hub, Laptop Stand, HDMI Cable"
TRX-8128,"Smartphone, Screen Protector, Phone Case, Fast Charger"
TRX-8129,"Laptop, Wireless Mouse, Laptop Bag, Monitor, Phone Case"
TRX-8130,"Webcam, USB Microphone, Ring Light, External SSD, Fast Charger"
TRX-8131,"Mechanical Keyboard, Wireless Mouse, Headset, Mouse Pad"
TRX-8132,"Smartphone, Screen Protector, Phone Case, USB Hub, Bluetooth Speaker"
TRX-8133,"Webcam, USB Microphone, Ring Light, DisplayPort Cable"
TRX-8134,"Laptop, Mechanical Keyboard, Mouse Pad, USB Microphone"
TRX-8135,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8136,"External SSD, USB Hub, Laptop Stand, Laptop Bag, Smartphone"
TRX-8137,"Laptop, Mechanical Keyboard, Mouse Pad, Wireless Mouse"
TRX-8138,"External SSD, USB Hub, Laptop Stand"
TRX-8139,"Smartphone, Powerbank, Fast Charger"
TRX-8140,"Webcam, USB Microphone, Ring Light"
TRX-8141,"Smartphone, Powerbank, Fast Charger"
TRX-8142,"Laptop, Mechanical Keyboard, Mouse Pad, Ring Light"
TRX-8143,"Smartphone, Screen Protector, Phone Case"
TRX-8144,"Webcam, USB Microphone, Ring Light"
TRX-8145,"Laptop, Mechanical Keyboard, Mouse Pad"
TRX-8146,"Webcam, USB Microphone, Ring Light, DisplayPort Cable"
TRX-8147,"Smartphone, Powerbank, Fast Charger"
TRX-8148,"Smartphone, Powerbank, Fast Charger"
TRX-8149,"External SSD, USB Hub, Laptop Stand"
TRX-8150,"Monitor, HDMI Cable, DisplayPort Cable, Powerbank, Screen Protector"
