endpoint_name,method,latency_before_ms,latency_after_ms,memory_mb_before,memory_mb_after
api_endpoint_090,GET,296.4,197.3,148.5,111.3
api_endpoint_091,POST,258.9,170.7,138.7,94.3
api_endpoint_092,POST,271.4,158.7,181.8,99.8
api_endpoint_093,PUT,229.0,99.1,108.4,107.3
api_endpoint_094,POST,315.4,192.5,128.7,52.7
api_endpoint_095,GET,293.1,230.5,100.3,101.5
api_endpoint_096,POST,276.5,125.7,83.6,80.6
api_endpoint_097,PUT,316.9,201.0,142.5,82.6
api_endpoint_098,PUT,336.4,241.9,137.9,98.6
api_endpoint_099,GET,414.2,301.1,110.9,86.6
api_endpoint_100,GET,252.0,138.5,129.9,100.9
