customer_id,login_frequency,avg_cart_value_k,browsing_duration_min,review_interaction_score,search_queries_count,email_click_rate_pct,discount_sensitivity_score,customer_lifetime_value_k
CUST-4031,21,574.2,67.5,7.0,34,66.7,6.7,6056.9
CUST-4032,17,394.0,59.2,6.4,27,61.5,9.3,4295.5
CUST-4033,19,822.1,57.7,8.1,32,67.9,5.3,7967.6
CUST-4034,14,573.9,56.9,7.1,21,40.1,5.5,5723.8
CUST-4035,33,477.3,102.5,10.0,58,100.0,9.8,5835.6
CUST-4036,13,619.5,41.8,4.8,23,47.5,8.9,6071.8
CUST-4037,29,779.8,83.7,10.0,43,90.3,5.8,8138.1
CUST-4038,18,995.2,62.4,7.5,31,60.2,4.1,9332.6
CUST-4039,23,694.2,70.8,7.0,40,72.9,5.2,7152.0
CUST-4040,24,555.0,74.0,10.0,43,81.8,8.0,5911.5
CUST-4041,17,573.1,61.7,6.3,31,58.6,10.0,5892.2
CUST-4042,13,390.2,40.4,4.7,24,40.6,8.9,4125.0
CUST-4043,16,791.5,56.8,6.2,26,56.2,6.5,7478.5
CUST-4044,26,554.4,77.2,9.5,45,81.1,5.8,6056.8
CUST-4045,28,872.3,83.9,9.5,44,84.7,4.3,8756.1
CUST-4046,31,623.6,104.8,10.0,55,100.0,6.3,6822.8
CUST-4047,18,560.5,58.2,7.5,27,62.7,8.1,5812.6
CUST-4048,20,656.1,68.4,8.9,34,72.1,6.5,6598.6
CUST-4049,20,701.3,65.2,8.2,32,71.6,6.7,7081.6
CUST-4050,17,677.6,63.6,5.8,29,58.1,7.4,6580.6
CUST-4051,19,446.3,56.7,7.2,32,50.2,7.3,4870.4
CUST-4052,17,395.1,60.3,9.0,26,52.5,7.7,4420.6
CUST-4053,17,354.4,60.5,6.8,26,60.1,10.0,4127.6
CUST-4054,20,626.0,63.0,6.5,29,56.2,6.3,6400.3
CUST-4055,12,755.7,47.4,6.7,26,44.8,6.2,7059.0
CUST-4056,22,474.5,81.8,9.6,35,72.1,7.7,5162.2
CUST-4057,13,603.6,45.2,5.4,22,34.1,6.9,5996.1
CUST-4058,20,526.5,70.1,6.8,34,66.3,8.4,5674.5
CUST-4059,16,843.5,50.7,7.6,28,51.6,6.9,8052.5
CUST-4060,25,634.0,85.4,9.4,43,87.6,6.1,6806.4
CUST-4061,28,716.4,94.6,8.8,47,100.0,5.4,7603.4
CUST-4062,16,756.2,54.1,6.9,25,65.9,6.4,7298.8
CUST-4063,28,654.4,96.3,10.0,44,94.3,7.5,7019.8
CUST-4064,16,519.0,54.2,6.3,30,65.0,7.0,5296.4
CUST-4065,18,717.0,64.1,6.8,29,63.6,5.1,7077.1
CUST-4066,27,604.1,77.9,10.0,47,96.9,10.0,6520.3
CUST-4067,23,481.7,75.1,8.9,36,60.5,10.0,5396.2
CUST-4068,23,510.2,72.1,7.3,34,73.7,8.1,5467.7
CUST-4069,29,578.9,99.1,10.0,48,91.4,8.9,6468.3
CUST-4070,23,697.9,66.8,7.7,38,75.5,7.1,7102.3
CUST-4071,23,754.2,77.5,9.3,38,77.2,4.0,7705.4
CUST-4072,18,934.0,68.9,7.1,35,69.7,5.3,8925.7
CUST-4073,5,642.6,16.4,3.4,10,27.1,5.9,6005.7
CUST-4074,21,587.0,65.1,9.6,35,64.1,6.4,6241.7
CUST-4075,18,662.7,64.7,6.6,28,49.6,6.7,6616.5
CUST-4076,27,514.6,93.4,9.0,44,93.2,9.5,5873.5
CUST-4077,14,797.1,46.0,5.5,22,55.2,6.0,7719.3
CUST-4078,17,350.4,59.5,7.3,28,59.9,9.6,3963.9
CUST-4079,29,834.7,102.0,10.0,50,99.2,5.5,8558.6
CUST-4080,12,297.1,57.0,5.2,25,56.6,10.0,3209.6
CUST-4081,22,611.1,78.0,8.3,41,83.0,7.8,6287.5
CUST-4082,20,698.5,59.6,8.1,36,64.2,7.1,7142.1
CUST-4083,26,934.3,89.1,8.9,44,88.1,4.2,9278.6
CUST-4084,12,812.4,46.1,4.2,18,45.6,7.2,7571.6
CUST-4085,8,610.7,39.3,2.8,16,26.2,10.0,5756.1
CUST-4086,21,433.3,69.4,9.9,36,81.7,9.1,4816.9
CUST-4087,10,567.2,33.4,2.6,15,31.5,7.2,5514.5
CUST-4088,16,267.9,63.7,7.6,29,55.9,10.0,3346.6
CUST-4089,17,549.4,51.8,7.6,28,49.8,8.3,5634.2
CUST-4090,29,763.3,93.2,9.3,45,98.4,6.6,7952.7
CUST-4091,11,458.0,36.3,3.9,19,37.3,8.4,4537.6
CUST-4092,21,750.8,66.7,8.4,33,67.4,7.7,7599.4
CUST-4093,22,499.2,75.9,5.7,35,69.4,9.6,5413.4
CUST-4094,27,861.1,81.1,9.5,45,91.7,3.2,8812.8
CUST-4095,16,582.4,61.1,7.5,24,48.1,8.9,5881.7
CUST-4096,25,677.7,80.2,8.3,41,72.0,6.7,7021.9
CUST-4097,15,518.5,55.6,6.6,29,62.9,10.0,5239.1
CUST-4098,22,487.7,74.7,9.1,38,75.7,8.5,5211.2
CUST-4099,22,932.7,75.2,10.0,35,63.2,3.7,9127.9
CUST-4100,19,583.7,61.4,8.1,35,59.8,9.3,6060.6
CUST-4101,23,565.4,83.2,10.0,38,72.3,7.1,6100.0
CUST-4102,19,480.6,68.7,8.3,33,60.2,8.4,5251.0
CUST-4103,12,741.4,33.4,4.9,20,42.5,4.5,6840.9
CUST-4104,21,729.9,76.1,9.7,35,73.3,4.9,7522.7
CUST-4105,13,425.9,54.2,8.1,24,45.9,9.5,4314.4
CUST-4106,27,622.7,85.2,8.5,45,95.9,4.8,6607.0
CUST-4107,18,592.9,62.3,7.2,27,64.0,8.9,6075.5
CUST-4108,12,662.1,43.1,6.4,24,42.3,7.3,6351.3
CUST-4109,19,917.8,59.1,8.8,33,57.0,6.2,8873.1
CUST-4110,20,316.6,67.6,9.3,34,67.1,10.0,3882.0
CUST-4111,19,700.9,71.6,7.4,34,59.5,8.8,7113.1
CUST-4112,22,574.7,68.9,7.6,32,74.7,7.0,6121.4
CUST-4113,19,606.1,66.3,7.4,33,68.2,8.7,6157.7
CUST-4114,24,597.2,74.4,9.7,39,77.0,8.3,6391.9
CUST-4115,16,701.9,47.8,4.9,24,57.2,7.7,6656.8
CUST-4116,27,276.2,77.5,9.5,43,81.3,10.0,3749.7
CUST-4117,17,925.9,57.0,7.4,31,78.7,4.1,8821.5
CUST-4118,17,790.4,68.2,7.8,30,72.2,4.9,7602.1
CUST-4119,16,902.3,53.2,4.9,27,58.7,6.6,8719.7
CUST-4120,20,781.0,72.8,8.3,36,80.3,7.3,7935.0
CUST-4121,21,497.1,62.2,6.3,34,69.9,9.2,5392.7
CUST-4122,24,785.1,79.4,9.1,38,82.7,5.5,7938.6
CUST-4123,16,1053.8,60.9,7.7,29,59.0,3.6,9605.5
CUST-4124,16,899.6,70.0,5.8,27,56.5,2.6,8479.8
CUST-4125,13,683.9,51.5,6.7,22,51.9,6.9,6506.7
CUST-4126,21,652.4,73.5,10.0,37,75.6,5.5,6664.4
CUST-4127,19,580.7,61.9,8.9,37,63.0,7.1,6034.3
CUST-4128,23,530.2,67.5,10.0,40,77.8,8.0,5634.4
CUST-4129,29,687.6,97.9,10.0,50,97.2,6.7,7327.5
CUST-4130,24,781.9,83.3,9.5,37,72.6,3.1,8045.6
CUST-4131,15,718.6,54.3,6.7,24,56.8,8.2,7032.2
CUST-4132,22,505.7,73.9,8.7,38,89.4,8.8,5390.8
CUST-4133,14,354.4,49.3,5.4,26,53.5,10.0,3841.1
CUST-4134,18,388.5,63.0,7.1,34,67.0,7.4,4302.0
CUST-4135,23,570.8,74.2,8.2,38,78.8,5.4,6193.6
CUST-4136,16,754.1,51.8,7.0,31,63.9,6.0,7204.6
CUST-4137,26,384.5,82.7,8.7,47,94.6,9.1,4623.8
CUST-4138,15,632.8,56.0,6.2,28,57.6,8.1,6451.3
CUST-4139,12,422.0,39.5,5.2,25,50.8,10.0,4412.4
CUST-4140,25,581.2,86.0,7.7,40,81.3,6.8,6396.9
CUST-4141,30,767.6,95.0,10.0,50,100.0,8.1,8147.2
CUST-4142,21,529.4,71.0,8.3,36,65.6,8.2,5663.2
CUST-4143,20,672.9,69.7,5.8,36,80.2,6.9,6905.0
CUST-4144,31,811.8,88.6,10.0,44,96.0,5.5,8625.1
CUST-4145,26,789.8,83.9,10.0,45,83.5,6.4,8075.8
CUST-4146,22,830.1,66.7,7.9,38,73.4,4.6,8323.1
CUST-4147,23,832.5,71.5,8.6,38,78.9,5.5,8188.7
CUST-4148,25,706.8,76.1,8.9,44,83.0,5.7,7305.3
CUST-4149,24,582.5,65.6,8.9,41,92.8,7.2,6233.7
CUST-4150,14,758.6,43.1,6.6,27,55.1,6.6,7273.0
