session_id,device_type,navigation_layout,task_completion_time_sec,error_clicks_count
SESS_077,Mobile,Drawer,74.1,2
SESS_078,Mobile,Drawer,71.4,1
SESS_079,Mobile,Drawer,68.3,1
SESS_080,Mobile,Drawer,63.6,3
SESS_081,Mobile,Drawer,72.1,2
SESS_082,Mobile,Drawer,74.0,3
SESS_083,Mobile,Drawer,62.6,2
SESS_084,Mobile,Drawer,72.1,1
SESS_085,Mobile,Drawer,72.7,0
SESS_086,Mobile,Drawer,69.0,4
SESS_087,Mobile,Drawer,74.1,5
SESS_088,Mobile,Drawer,71.3,3
SESS_089,Mobile,Drawer,73.6,0
SESS_090,Mobile,Drawer,74.9,1
SESS_091,Mobile,BottomNav,59.9,4
SESS_092,Mobile,BottomNav,62.6,3
SESS_093,Mobile,BottomNav,58.9,2
SESS_094,Mobile,BottomNav,54.4,2
SESS_095,Mobile,BottomNav,53.4,2
SESS_096,Mobile,BottomNav,51.2,4
SESS_097,Mobile,BottomNav,57.8,1
SESS_098,Mobile,BottomNav,64.3,0
SESS_099,Mobile,BottomNav,55.0,1
SESS_100,Mobile,BottomNav,59.5,5
SESS_101,Mobile,BottomNav,52.9,4
SESS_102,Mobile,BottomNav,58.1,1
SESS_103,Mobile,BottomNav,63.9,4
SESS_104,Mobile,BottomNav,60.8,5
SESS_105,Mobile,BottomNav,48.4,0
SESS_106,Mobile,BottomNav,60.1,1
SESS_107,Mobile,BottomNav,60.4,2
SESS_108,Mobile,BottomNav,58.0,1
SESS_109,Mobile,BottomNav,60.7,4
SESS_110,Mobile,BottomNav,52.4,2
SESS_111,Mobile,BottomNav,57.3,2
SESS_112,Mobile,BottomNav,63.1,3
SESS_113,Mobile,BottomNav,62.6,1
SESS_114,Mobile,BottomNav,60.0,1
SESS_115,Mobile,BottomNav,52.1,0
SESS_116,Mobile,BottomNav,51.3,4
SESS_117,Mobile,BottomNav,57.6,2
SESS_118,Mobile,BottomNav,58.0,1
SESS_119,Mobile,BottomNav,56.4,2
SESS_120,Mobile,BottomNav,52.6,1
SESS_121,Tablet,Drawer,68.4,1
SESS_122,Tablet,Drawer,66.6,0
SESS_123,Tablet,Drawer,67.6,0
SESS_124,Tablet,Drawer,69.3,2
SESS_125,Tablet,Drawer,64.5,2
SESS_126,Tablet,Drawer,63.3,7
SESS_127,Tablet,Drawer,72.1,3
SESS_128,Tablet,Drawer,61.8,3
SESS_129,Tablet,Drawer,63.4,5
SESS_130,Tablet,Drawer,72.8,3
SESS_131,Tablet,Drawer,63.0,1
SESS_132,Tablet,Drawer,65.5,2
SESS_133,Tablet,Drawer,63.7,0
SESS_134,Tablet,Drawer,56.2,2
SESS_135,Tablet,Drawer,65.3,3
SESS_136,Tablet,Drawer,60.4,5
SESS_137,Tablet,Drawer,67.4,2
SESS_138,Tablet,Drawer,72.1,1
SESS_139,Tablet,Drawer,53.8,3
SESS_140,Tablet,Drawer,63.8,0
SESS_141,Tablet,Drawer,68.5,3
SESS_142,Tablet,Drawer,54.0,3
SESS_143,Tablet,Drawer,73.3,5
SESS_144,Tablet,Drawer,68.1,2
SESS_145,Tablet,Drawer,72.0,0
SESS_146,Tablet,Drawer,62.9,1
SESS_147,Tablet,Drawer,63.6,3
SESS_148,Tablet,Drawer,65.1,4
SESS_149,Tablet,Drawer,77.8,4
SESS_150,Tablet,Drawer,73.2,3
SESS_151,Tablet,BottomNav,51.7,1
SESS_152,Tablet,BottomNav,52.4,0
SESS_153,Tablet,BottomNav,54.5,2
SESS_154,Tablet,BottomNav,64.2,3
SESS_155,Tablet,BottomNav,53.1,2
SESS_156,Tablet,BottomNav,51.3,1
SESS_157,Tablet,BottomNav,49.1,3
SESS_158,Tablet,BottomNav,52.3,1
SESS_159,Tablet,BottomNav,47.8,3
SESS_160,Tablet,BottomNav,53.7,3
SESS_161,Tablet,BottomNav,43.1,4
SESS_162,Tablet,BottomNav,49.6,2
SESS_163,Tablet,BottomNav,55.0,1
SESS_164,Tablet,BottomNav,53.0,3
SESS_165,Tablet,BottomNav,48.5,1
SESS_166,Tablet,BottomNav,49.7,5
SESS_167,Tablet,BottomNav,56.7,2
SESS_168,Tablet,BottomNav,44.3,3
SESS_169,Tablet,BottomNav,44.4,0
SESS_170,Tablet,BottomNav,45.9,1
SESS_171,Tablet,BottomNav,50.9,4
SESS_172,Tablet,BottomNav,43.5,1
SESS_173,Tablet,BottomNav,56.2,5
SESS_174,Tablet,BottomNav,45.9,0
SESS_175,Tablet,BottomNav,52.2,2
SESS_176,Tablet,BottomNav,47.8,4
SESS_177,Tablet,BottomNav,50.6,2
SESS_178,Tablet,BottomNav,42.2,2
SESS_179,Tablet,BottomNav,56.5,2
SESS_180,Tablet,BottomNav,45.7,1
