student_id,gender,grade_level,pretest_score,posttest_score,normalized_gain_score,gameplay_duration_mins,mda_mechanics_rating,mda_dynamics_rating,mda_aesthetics_rating,learning_satisfaction_rating
MHS_EDU_081,Laki-laki,Tingkat 1,41.6,86.1,0.762,32,5,3,4,4
MHS_EDU_082,Perempuan,Tingkat 2,71.7,100.0,1.0,60,3,3,4,5
MHS_EDU_083,Laki-laki,Tingkat 2,47.3,86.5,0.744,32,4,4,5,5
MHS_EDU_084,Perempuan,Tingkat 1,42.0,88.4,0.8,82,4,5,4,4
MHS_EDU_085,Laki-laki,Tingkat 2,51.9,97.5,0.948,84,4,4,4,5
MHS_EDU_086,Laki-laki,Tingkat 1,72.0,100.0,1.0,74,4,3,4,5
MHS_EDU_087,Perempuan,Tingkat 2,54.0,100.0,1.0,52,4,5,4,5
MHS_EDU_088,Laki-laki,Tingkat 2,45.3,96.1,0.929,65,5,5,5,5
MHS_EDU_089,Perempuan,Tingkat 1,41.9,84.7,0.737,88,4,3,4,4
MHS_EDU_090,Perempuan,Tingkat 1,53.2,100.0,1.0,51,5,5,5,5
MHS_EDU_091,Perempuan,Tingkat 2,35.2,85.8,0.781,87,5,5,4,5
MHS_EDU_092,Perempuan,Tingkat 1,41.8,91.0,0.845,41,5,4,5,5
MHS_EDU_093,Perempuan,Tingkat 1,68.9,100.0,1.0,57,5,3,5,5
MHS_EDU_094,Perempuan,Tingkat 1,66.8,100.0,1.0,53,5,3,4,5
MHS_EDU_095,Perempuan,Tingkat 2,53.0,98.7,0.972,37,4,3,5,5
MHS_EDU_096,Perempuan,Tingkat 2,49.8,100.0,1.0,70,4,5,4,5
MHS_EDU_097,Perempuan,Tingkat 1,54.8,100.0,1.0,59,5,5,4,5
MHS_EDU_098,Perempuan,Tingkat 1,76.5,100.0,1.0,30,5,3,5,5
MHS_EDU_099,Perempuan,Tingkat 1,58.0,100.0,1.0,71,4,4,4,5
MHS_EDU_100,Laki-laki,Tingkat 2,62.8,100.0,1.0,49,4,4,3,5
MHS_EDU_101,Laki-laki,Tingkat 1,52.3,100.0,1.0,34,4,4,5,4
MHS_EDU_102,Perempuan,Tingkat 2,54.8,100.0,1.0,80,5,5,3,4
MHS_EDU_103,Perempuan,Tingkat 1,60.3,100.0,1.0,54,3,4,5,5
MHS_EDU_104,Perempuan,Tingkat 2,55.4,100.0,1.0,29,4,4,4,5
MHS_EDU_105,Perempuan,Tingkat 1,36.2,81.3,0.707,57,4,4,5,5
MHS_EDU_106,Perempuan,Tingkat 1,66.4,100.0,1.0,89,4,5,5,5
MHS_EDU_107,Perempuan,Tingkat 1,48.4,94.9,0.901,42,5,4,5,5
MHS_EDU_108,Perempuan,Tingkat 2,74.3,100.0,1.0,73,3,5,5,5
MHS_EDU_109,Perempuan,Tingkat 2,60.7,100.0,1.0,35,5,4,4,5
MHS_EDU_110,Laki-laki,Tingkat 1,54.9,99.6,0.991,50,3,5,5,5
MHS_EDU_111,Perempuan,Tingkat 2,58.4,100.0,1.0,87,5,5,4,5
MHS_EDU_112,Laki-laki,Tingkat 2,53.2,97.9,0.955,83,3,3,4,5
MHS_EDU_113,Perempuan,Tingkat 2,49.6,94.3,0.887,51,3,4,4,5
MHS_EDU_114,Perempuan,Tingkat 1,56.2,100.0,1.0,73,5,5,5,4
MHS_EDU_115,Laki-laki,Tingkat 1,62.6,100.0,1.0,57,5,5,4,4
MHS_EDU_116,Perempuan,Tingkat 1,49.8,100.0,1.0,25,5,4,5,4
MHS_EDU_117,Laki-laki,Tingkat 2,48.3,100.0,1.0,45,5,4,5,5
MHS_EDU_118,Perempuan,Tingkat 2,50.8,100.0,1.0,79,5,5,5,5
MHS_EDU_119,Perempuan,Tingkat 2,63.2,100.0,1.0,30,3,4,4,5
MHS_EDU_120,Laki-laki,Tingkat 1,68.0,100.0,1.0,29,5,3,5,5
MHS_EDU_121,Perempuan,Tingkat 1,57.6,100.0,1.0,27,4,5,4,4
MHS_EDU_122,Laki-laki,Tingkat 2,59.7,100.0,1.0,77,5,4,4,5
MHS_EDU_123,Perempuan,Tingkat 2,48.2,90.9,0.824,47,5,4,4,4
MHS_EDU_124,Laki-laki,Tingkat 2,62.5,100.0,1.0,77,5,4,4,5
MHS_EDU_125,Laki-laki,Tingkat 2,59.4,100.0,1.0,61,4,3,5,4
MHS_EDU_126,Perempuan,Tingkat 2,47.5,95.7,0.918,41,4,4,5,5
MHS_EDU_127,Perempuan,Tingkat 1,37.2,90.8,0.854,25,5,5,4,4
MHS_EDU_128,Laki-laki,Tingkat 1,42.6,87.9,0.789,75,4,4,3,5
MHS_EDU_129,Perempuan,Tingkat 2,47.8,89.5,0.799,69,5,4,3,5
MHS_EDU_130,Perempuan,Tingkat 2,65.2,100.0,1.0,28,5,4,3,5
MHS_EDU_131,Perempuan,Tingkat 1,69.0,100.0,1.0,86,4,4,5,5
MHS_EDU_132,Laki-laki,Tingkat 1,50.0,100.0,1.0,89,5,5,3,5
MHS_EDU_133,Laki-laki,Tingkat 2,50.3,99.6,0.992,56,4,4,4,5
MHS_EDU_134,Laki-laki,Tingkat 1,56.7,100.0,1.0,58,5,4,4,5
MHS_EDU_135,Laki-laki,Tingkat 1,54.3,100.0,1.0,63,5,5,5,5
MHS_EDU_136,Laki-laki,Tingkat 1,63.0,100.0,1.0,50,3,4,5,5
MHS_EDU_137,Laki-laki,Tingkat 2,49.2,94.1,0.884,58,4,4,5,5
MHS_EDU_138,Laki-laki,Tingkat 2,63.2,100.0,1.0,78,5,4,5,4
MHS_EDU_139,Laki-laki,Tingkat 1,51.9,100.0,1.0,27,4,4,5,5
MHS_EDU_140,Laki-laki,Tingkat 2,62.3,100.0,1.0,74,5,4,3,5
MHS_EDU_141,Perempuan,Tingkat 1,51.6,90.0,0.793,36,4,4,5,5
MHS_EDU_142,Laki-laki,Tingkat 1,48.4,100.0,1.0,89,4,5,5,5
MHS_EDU_143,Perempuan,Tingkat 2,72.4,100.0,1.0,78,4,4,5,5
MHS_EDU_144,Perempuan,Tingkat 2,64.3,100.0,1.0,29,4,4,5,5
MHS_EDU_145,Perempuan,Tingkat 2,37.2,88.0,0.809,81,4,5,5,4
MHS_EDU_146,Laki-laki,Tingkat 2,50.0,92.6,0.852,41,5,4,5,5
MHS_EDU_147,Laki-laki,Tingkat 2,65.6,100.0,1.0,71,3,5,5,5
MHS_EDU_148,Laki-laki,Tingkat 1,42.8,96.3,0.935,47,4,4,5,5
MHS_EDU_149,Laki-laki,Tingkat 1,61.5,100.0,1.0,38,3,4,5,5
MHS_EDU_150,Perempuan,Tingkat 1,60.5,100.0,1.0,75,4,5,5,4
