account_id,sla_tier,monitoring_period_weeks,sla_breach_count,service_availability_pct,account_churn
CLOUD_ACC_055,99.9%,32.2,1,99.705,1
CLOUD_ACC_056,99.99%,16.1,1,99.671,0
CLOUD_ACC_057,99.9%,13.8,1,99.621,0
CLOUD_ACC_058,99.9%,20.3,1,99.881,0
CLOUD_ACC_059,99.9%,26.9,0,99.747,0
CLOUD_ACC_060,99.99%,18.2,1,99.948,0
CLOUD_ACC_061,99.9%,28.7,1,99.503,1
CLOUD_ACC_062,99.9%,11.9,3,99.625,0
CLOUD_ACC_063,99.9%,50.9,0,99.86,0
CLOUD_ACC_064,99.9%,9.2,0,100.0,0
CLOUD_ACC_065,99.99%,48.7,0,99.926,0
CLOUD_ACC_066,99.9%,47.9,0,99.732,0
CLOUD_ACC_067,99.9%,29.2,1,99.552,0
CLOUD_ACC_068,99.9%,38.8,1,99.72,0
CLOUD_ACC_069,99.9%,24.9,1,99.842,0
CLOUD_ACC_070,99.99%,34.2,0,99.378,0
CLOUD_ACC_071,99.9%,20.3,1,99.607,0
CLOUD_ACC_072,99.9%,18.5,0,99.702,0
CLOUD_ACC_073,99.99%,31.8,2,99.799,0
CLOUD_ACC_074,99.9%,27.9,0,99.839,1
CLOUD_ACC_075,99.9%,31.8,4,99.728,0
CLOUD_ACC_076,99.9%,17.8,0,99.951,0
CLOUD_ACC_077,99.99%,21.6,1,99.875,1
CLOUD_ACC_078,99.9%,8.0,2,99.776,1
CLOUD_ACC_079,99.99%,6.5,4,99.979,0
CLOUD_ACC_080,99.99%,16.2,0,99.962,0
CLOUD_ACC_081,99.99%,7.6,2,99.559,0
CLOUD_ACC_082,99.99%,9.0,1,99.844,0
CLOUD_ACC_083,99.99%,43.0,0,100.0,1
CLOUD_ACC_084,99.99%,5.9,1,100.0,0
CLOUD_ACC_085,99.99%,35.6,1,99.924,0
CLOUD_ACC_086,99.9%,17.1,1,99.803,1
CLOUD_ACC_087,99.9%,45.8,1,99.934,0
CLOUD_ACC_088,99.99%,27.3,0,100.0,0
CLOUD_ACC_089,99.99%,18.7,1,99.873,1
CLOUD_ACC_090,99.99%,28.8,2,99.896,0
CLOUD_ACC_091,99.99%,22.3,2,99.8,0
CLOUD_ACC_092,99.99%,31.1,0,99.583,1
CLOUD_ACC_093,99.99%,9.5,2,99.815,0
CLOUD_ACC_094,99.9%,51.9,1,99.715,0
CLOUD_ACC_095,99.9%,24.4,2,99.715,0
CLOUD_ACC_096,99.99%,20.7,1,100.0,0
CLOUD_ACC_097,99.99%,38.1,0,100.0,0
CLOUD_ACC_098,99.99%,21.5,2,99.511,0
CLOUD_ACC_099,99.9%,44.0,2,99.633,0
CLOUD_ACC_100,99.99%,25.8,2,99.777,0
CLOUD_ACC_101,99.9%,38.5,5,99.722,0
CLOUD_ACC_102,99.9%,9.2,2,99.913,0
CLOUD_ACC_103,99.9%,44.6,0,99.601,1
CLOUD_ACC_104,99.99%,39.3,2,100.0,0
CLOUD_ACC_105,99.99%,14.2,3,99.841,0
CLOUD_ACC_106,99.9%,11.0,1,99.782,0
CLOUD_ACC_107,99.9%,19.2,0,99.847,0
CLOUD_ACC_108,99.9%,50.9,1,99.766,0
CLOUD_ACC_109,99.9%,16.3,3,99.444,1
CLOUD_ACC_110,99.99%,25.9,0,99.852,0
CLOUD_ACC_111,99.9%,5.4,0,99.786,1
CLOUD_ACC_112,99.99%,23.1,1,99.659,0
CLOUD_ACC_113,99.9%,31.4,0,100.0,0
CLOUD_ACC_114,99.99%,49.7,1,99.984,1
CLOUD_ACC_115,99.9%,28.8,1,100.0,0
CLOUD_ACC_116,99.99%,43.3,0,100.0,0
CLOUD_ACC_117,99.99%,30.3,0,99.721,1
CLOUD_ACC_118,99.99%,6.0,1,99.669,1
CLOUD_ACC_119,99.9%,19.1,3,99.751,1
CLOUD_ACC_120,99.99%,31.6,1,99.717,0
CLOUD_ACC_121,99.9%,49.6,2,99.872,0
CLOUD_ACC_122,99.99%,45.2,1,99.542,0
CLOUD_ACC_123,99.99%,15.0,0,99.979,0
CLOUD_ACC_124,99.9%,14.6,0,99.868,1
CLOUD_ACC_125,99.99%,13.7,1,99.956,0
CLOUD_ACC_126,99.99%,48.3,0,99.621,0
CLOUD_ACC_127,99.9%,44.9,1,99.899,0
CLOUD_ACC_128,99.99%,41.2,1,100.0,0
CLOUD_ACC_129,99.99%,22.9,0,99.678,1
CLOUD_ACC_130,99.99%,28.2,1,99.672,0
CLOUD_ACC_131,99.99%,26.3,1,99.992,0
CLOUD_ACC_132,99.9%,16.2,1,99.656,1
CLOUD_ACC_133,99.99%,28.2,2,99.803,0
CLOUD_ACC_134,99.99%,5.5,1,100.0,0
CLOUD_ACC_135,99.99%,10.3,1,99.675,0
CLOUD_ACC_136,99.99%,46.6,1,100.0,0
CLOUD_ACC_137,99.99%,40.1,2,99.783,0
CLOUD_ACC_138,99.99%,24.3,2,99.626,1
CLOUD_ACC_139,99.99%,28.8,0,99.971,0
CLOUD_ACC_140,99.99%,21.8,3,99.872,1
CLOUD_ACC_141,99.9%,39.6,0,99.853,1
CLOUD_ACC_142,99.9%,41.6,1,99.696,0
CLOUD_ACC_143,99.9%,40.6,0,99.87,0
CLOUD_ACC_144,99.9%,38.7,0,99.436,0
CLOUD_ACC_145,99.99%,13.8,1,99.894,0
CLOUD_ACC_146,99.99%,20.2,0,100.0,1
CLOUD_ACC_147,99.9%,26.6,1,99.497,0
CLOUD_ACC_148,99.9%,19.9,0,99.769,0
CLOUD_ACC_149,99.9%,40.2,0,99.675,0
CLOUD_ACC_150,99.99%,19.8,1,99.548,0
CLOUD_ACC_151,99.99%,10.6,0,99.439,0
CLOUD_ACC_152,99.9%,23.2,2,99.614,0
CLOUD_ACC_153,99.9%,51.0,1,99.802,0
CLOUD_ACC_154,99.9%,14.8,1,100.0,0
CLOUD_ACC_155,99.9%,33.4,0,99.545,0
CLOUD_ACC_156,99.9%,24.8,1,99.909,0
CLOUD_ACC_157,99.99%,7.4,2,99.894,0
CLOUD_ACC_158,99.9%,27.4,1,100.0,0
CLOUD_ACC_159,99.99%,37.7,0,99.964,0
CLOUD_ACC_160,99.9%,28.6,2,99.976,0
CLOUD_ACC_161,99.9%,45.9,4,99.99,1
CLOUD_ACC_162,99.99%,17.9,2,99.665,0
CLOUD_ACC_163,99.9%,8.1,0,99.735,0
CLOUD_ACC_164,99.99%,49.0,4,100.0,1
CLOUD_ACC_165,99.99%,22.2,0,99.44,1
CLOUD_ACC_166,99.9%,31.7,0,99.714,0
CLOUD_ACC_167,99.9%,42.0,0,99.584,0
CLOUD_ACC_168,99.99%,19.6,3,99.897,0
CLOUD_ACC_169,99.99%,38.4,0,99.766,0
CLOUD_ACC_170,99.9%,10.5,0,99.975,1
CLOUD_ACC_171,99.99%,18.0,0,99.828,0
CLOUD_ACC_172,99.9%,10.9,1,99.541,0
CLOUD_ACC_173,99.99%,42.9,0,99.55,0
CLOUD_ACC_174,99.9%,14.7,1,99.849,0
CLOUD_ACC_175,99.99%,38.4,1,99.696,0
CLOUD_ACC_176,99.99%,49.3,1,99.743,1
CLOUD_ACC_177,99.9%,29.3,1,100.0,0
CLOUD_ACC_178,99.99%,29.9,2,100.0,0
CLOUD_ACC_179,99.99%,26.1,2,100.0,0
CLOUD_ACC_180,99.99%,19.6,0,99.787,0
