order_id,customer_age,gender,category,payment_method,quantity,price_per_unit_k,discount_pct,total_amount_k,rating_score,delivery_days
ORD-1085,27,Female,Home & Living,COD,2,128.1,20,204.96,1,2
ORD-1086,34,Female,Electronics,E-Wallet,1,347.7,20,278.16,5,1
ORD-1087,43,Female,Home & Living,E-Wallet,3,199.8,5,569.43,4,1
ORD-1088,18,Male,Home & Living,COD,2,178.2,10,320.76,4,3
ORD-1089,30,Male,Groceries,COD,2,49.8,10,89.64,4,1
ORD-1090,39,Male,Books,E-Wallet,1,60.0,15,51.0,5,6
ORD-1091,32,Female,Books,E-Wallet,1,84.1,10,75.69,4,2
ORD-1092,32,Male,Fashion,Bank Transfer,2,148.9,25,223.35,4,2
ORD-1093,43,Male,Fashion,Bank Transfer,2,127.6,20,204.16,4,3
ORD-1094,47,Male,Books,E-Wallet,2,113.0,10,203.4,4,5
ORD-1095,29,Female,Fashion,COD,2,176.3,15,299.71,3,1
ORD-1096,24,Male,Electronics,Bank Transfer,3,512.5,30,1076.25,4,2
ORD-1097,34,Female,Home & Living,COD,4,163.2,15,554.88,4,2
ORD-1098,40,Female,Books,Bank Transfer,4,100.6,15,342.04,3,3
ORD-1099,32,Female,Books,COD,8,78.7,30,440.72,5,4
ORD-1100,30,Male,Fashion,Bank Transfer,4,142.7,20,456.64,5,2
ORD-1101,36,Male,Electronics,COD,3,456.0,10,1231.2,4,2
ORD-1102,21,Female,Home & Living,COD,5,126.9,15,539.32,5,1
ORD-1103,34,Female,Fashion,E-Wallet,2,122.5,0,245.0,5,3
ORD-1104,28,Male,Groceries,E-Wallet,1,47.7,10,42.93,4,2
ORD-1105,32,Male,Fashion,Credit Card,1,150.9,30,105.63,4,2
ORD-1106,23,Male,Fashion,COD,2,76.9,30,107.66,4,3
ORD-1107,29,Male,Books,Bank Transfer,8,111.0,10,799.2,4,2
ORD-1108,34,Female,Fashion,COD,4,143.0,10,514.8,4,4
ORD-1109,38,Female,Groceries,E-Wallet,2,44.6,25,66.9,5,6
ORD-1110,29,Female,Groceries,Credit Card,2,35.4,20,56.64,3,4
ORD-1111,32,Male,Electronics,E-Wallet,1,258.0,15,219.3,1,3
ORD-1112,35,Female,Groceries,COD,1,54.4,10,3800.0,4,4
ORD-1113,44,Female,Books,Bank Transfer,3,64.3,10,173.61,5,3
ORD-1114,32,Male,Books,Bank Transfer,1,71.9,0,71.9,4,4
ORD-1115,26,Female,Groceries,E-Wallet,2,30.1,15,51.17,1,4
ORD-1116,25,Male,Electronics,COD,4,412.9,5,1569.02,1,4
ORD-1117,57,Male,Electronics,Credit Card,4,536.5,5,2038.7,4,1
ORD-1118,46,Female,Home & Living,Credit Card,4,146.7,20,469.44,4,1
ORD-1119,33,Female,Fashion,COD,2,117.7,5,223.63,5,4
ORD-1120,39,Female,Electronics,COD,1,719.0,30,503.3,4,2
ORD-1121,26,Male,Electronics,Bank Transfer,1,312.4,5,296.78,5,4
ORD-1122,46,Male,Home & Living,Credit Card,3,209.2,30,439.32,5,5
ORD-1123,47,Male,Fashion,Bank Transfer,3,121.1,0,363.3,4,3
ORD-1124,32,Male,Home & Living,Bank Transfer,1,197.5,15,167.88,4,4
ORD-1125,31,Female,Home & Living,E-Wallet,2,143.2,5,272.08,5,5
ORD-1126,35,Female,Books,E-Wallet,1,63.7,25,47.78,2,3
ORD-1127,29,Male,Groceries,Credit Card,1,33.2,10,29.88,4,1
ORD-1128,25,Female,Home & Living,Bank Transfer,2,182.0,25,273.0,2,3
ORD-1129,22,Male,Books,COD,4,49.0,15,166.6,4,2
ORD-1130,34,Male,Groceries,COD,1,44.1,25,33.08,5,6
ORD-1131,45,Male,Books,E-Wallet,3,101.4,10,273.78,5,2
ORD-1132,28,Female,Electronics,COD,1,355.0,30,248.5,5,1
ORD-1133,38,Female,Groceries,E-Wallet,2,47.9,5,91.01,3,1
ORD-1134,33,Female,Home & Living,Bank Transfer,1,193.6,15,164.56,5,4
ORD-1135,46,Male,Home & Living,Bank Transfer,1,185.3,10,166.77,4,3
ORD-1136,38,Male,Fashion,Credit Card,2,106.5,25,159.75,5,3
ORD-1137,40,Female,Books,COD,1,99.2,10,89.28,3,2
ORD-1138,49,Male,Electronics,Credit Card,1,325.7,10,293.13,4,2
ORD-1139,22,Female,Groceries,Credit Card,3,52.1,0,156.3,4,4
ORD-1140,39,Female,Home & Living,Bank Transfer,1,146.5,0,146.5,3,4
ORD-1141,44,Female,Groceries,Bank Transfer,1,38.5,15,32.73,4,4
ORD-1142,38,Male,Home & Living,Bank Transfer,1,209.5,0,209.5,4,3
ORD-1143,38,Female,Home & Living,COD,3,220.4,15,562.02,3,1
ORD-1144,43,Male,Home & Living,COD,3,218.8,30,459.48,2,3
ORD-1145,24,Male,Books,Bank Transfer,3,93.5,5,266.47,4,4
ORD-1146,40,Male,Home & Living,Credit Card,4,152.9,30,428.12,4,5
ORD-1147,34,Female,Fashion,Credit Card,2,131.2,30,183.68,5,6
ORD-1148,40,Female,Books,COD,2,107.5,20,172.0,3,2
ORD-1149,38,Female,Electronics,COD,2,432.2,10,777.96,5,2
ORD-1150,27,Male,Groceries,COD,2,64.9,0,129.8,4,4
