respondent_id,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12
RESP_043,3,3,4,3,4,4,4,3,3,3,4,4
RESP_044,4,3,3,3,3,3,3,3,3,3,3,3
RESP_045,3,3,3,4,3,4,3,3,3,3,3,3
RESP_046,4,3,4,3,4,3,3,3,3,3,3,4
RESP_047,4,4,4,3,4,4,3,4,5,4,4,4
RESP_048,3,3,3,3,3,3,3,3,4,3,3,3
RESP_049,4,4,4,4,5,4,3,4,4,4,4,4
RESP_050,4,5,5,4,5,4,5,5,5,5,5,5
RESP_051,4,4,4,4,4,5,4,4,4,5,3,4
RESP_052,3,4,4,3,3,4,4,4,3,3,3,4
RESP_053,3,3,3,3,3,3,2,3,3,4,3,3
RESP_054,4,4,5,5,5,5,5,5,5,4,5,5
RESP_055,4,4,3,3,3,3,4,3,3,3,3,3
RESP_056,5,5,4,4,4,4,4,4,4,5,5,4
RESP_057,4,5,4,4,4,4,4,3,4,5,4,4
RESP_058,4,4,4,4,3,3,3,4,4,3,3,4
RESP_059,3,3,4,3,3,4,4,3,4,3,4,4
RESP_060,2,3,2,3,3,3,2,3,3,3,3,2
RESP_061,4,4,3,4,3,3,4,4,4,4,3,4
RESP_062,4,4,4,4,4,4,4,4,4,4,5,5
RESP_063,3,3,3,3,3,3,3,3,4,3,3,3
RESP_064,3,4,3,4,4,3,3,4,4,4,3,4
RESP_065,4,4,4,3,3,3,4,4,4,3,4,4
RESP_066,3,4,4,4,4,4,4,4,4,4,4,4
RESP_067,4,3,4,4,4,4,3,4,4,4,4,4
RESP_068,3,4,3,3,3,3,2,3,2,3,3,3
RESP_069,4,3,3,4,4,4,4,4,4,4,3,3
RESP_070,4,4,4,4,3,4,4,4,5,4,3,3
RESP_071,4,4,5,4,4,4,4,4,5,4,4,4
RESP_072,3,3,2,4,4,3,4,3,3,4,4,3
RESP_073,5,5,5,5,5,5,5,5,4,5,5,5
RESP_074,3,3,3,3,3,2,2,2,3,3,3,3
RESP_075,3,3,3,3,3,4,3,3,3,4,4,3
RESP_076,4,4,3,4,4,4,4,3,4,3,4,3
RESP_077,4,3,4,3,4,3,4,3,4,4,4,3
RESP_078,3,3,3,3,3,3,3,3,3,3,3,3
RESP_079,4,4,4,4,4,5,5,4,4,4,4,4
RESP_080,4,4,5,4,4,4,4,3,4,4,4,4
RESP_081,3,3,4,4,3,4,4,4,3,4,4,4
RESP_082,4,4,4,4,4,4,4,4,4,4,4,4
RESP_083,4,4,3,3,3,4,4,4,4,3,3,3
RESP_084,3,3,3,3,3,3,2,3,3,3,3,2
RESP_085,4,3,4,3,3,4,3,3,4,4,3,3
RESP_086,4,4,4,4,4,3,4,4,5,4,4,4
RESP_087,4,5,4,4,3,3,4,4,4,4,4,4
RESP_088,4,4,3,4,4,4,4,3,3,3,3,4
RESP_089,4,4,4,4,4,4,3,5,5,5,4,5
RESP_090,4,3,4,4,3,4,4,3,3,4,3,3
RESP_091,4,4,3,4,4,3,4,4,3,4,4,4
RESP_092,4,4,4,4,5,4,4,4,4,5,4,4
RESP_093,3,3,4,4,4,4,3,4,4,4,3,4
RESP_094,3,3,3,3,3,3,4,3,3,3,3,3
RESP_095,4,4,4,2,3,3,3,3,3,3,4,3
RESP_096,5,4,5,5,5,4,4,4,4,4,4,4
RESP_097,5,5,4,4,5,5,4,5,5,5,4,4
RESP_098,5,5,5,5,5,4,4,5,5,5,5,5
RESP_099,3,4,4,4,3,4,4,4,4,4,5,5
RESP_100,3,3,3,3,3,3,4,3,3,3,3,3
RESP_101,4,3,4,4,4,4,4,4,3,4,3,3
RESP_102,5,5,5,5,5,4,4,4,4,5,5,5
RESP_103,4,5,3,5,3,4,4,4,5,4,5,5
RESP_104,4,4,4,4,3,4,4,4,4,4,3,3
RESP_105,4,4,4,5,4,4,4,4,4,4,4,4
RESP_106,3,4,4,4,3,3,3,4,3,3,3,3
RESP_107,4,3,4,4,3,3,3,4,3,3,4,4
RESP_108,3,3,3,3,4,3,4,3,3,4,4,3
RESP_109,4,4,4,4,4,5,4,5,5,4,4,4
RESP_110,5,5,5,4,3,4,4,4,5,4,5,4
RESP_111,4,3,4,4,4,4,4,4,4,4,4,4
RESP_112,3,3,3,3,3,4,3,3,4,4,4,3
RESP_113,4,4,4,4,4,4,4,4,4,4,4,4
RESP_114,4,3,4,4,3,4,4,4,4,3,3,4
RESP_115,3,4,4,3,3,4,4,4,4,3,4,4
RESP_116,5,4,4,4,5,4,4,4,5,4,3,4
RESP_117,3,4,3,4,3,4,4,3,3,4,3,3
RESP_118,3,3,3,3,3,2,3,2,2,3,3,4
RESP_119,3,3,3,3,2,2,4,2,3,4,3,3
RESP_120,2,2,3,3,3,2,3,4,3,3,3,3
