umkm_id,monthly_revenue_million,business_experience_yrs,has_side_business,credit_history_good,num_dependents,loan_amount_million,credit_status_smooth
UMKM-193,3.51,3,0,1,0,24.5,1
UMKM-194,3.88,2,0,1,4,25.0,0
UMKM-195,7.76,4,1,1,1,30.7,1
UMKM-196,4.84,5,1,1,3,22.3,1
UMKM-197,4.99,6,1,0,1,29.1,1
UMKM-198,4.38,1,0,0,1,21.1,0
UMKM-199,5.99,6,1,0,2,34.1,1
UMKM-200,4.7,7,0,0,3,25.3,0
UMKM-201,10.11,3,0,0,0,54.8,1
UMKM-202,8.5,6,1,0,1,40.6,1
UMKM-203,3.57,1,0,0,1,20.6,0
UMKM-204,5.55,7,1,0,2,30.7,0
UMKM-205,4.57,4,0,1,2,29.0,1
UMKM-206,9.52,2,0,1,1,38.5,1
UMKM-207,2.12,3,0,1,1,17.4,0
UMKM-208,6.53,5,0,0,4,29.1,0
UMKM-209,6.16,4,0,0,1,36.4,1
UMKM-210,6.61,2,0,1,1,31.3,1
UMKM-211,6.29,7,0,1,4,34.7,1
UMKM-212,2.95,4,0,1,1,11.2,1
UMKM-213,4.24,2,0,1,1,26.4,1
UMKM-214,6.6,5,0,1,3,35.2,1
UMKM-215,8.2,6,0,0,3,44.3,1
UMKM-216,6.46,2,1,0,3,41.0,1
UMKM-217,4.9,5,1,1,3,33.3,1
UMKM-218,9.46,5,1,0,2,37.7,1
UMKM-219,1.5,3,0,1,1,12.1,1
UMKM-220,9.66,7,0,1,1,41.5,1
UMKM-221,7.65,3,0,1,1,38.8,1
UMKM-222,8.24,4,0,1,2,38.2,1
UMKM-223,5.75,5,0,0,2,45.6,1
UMKM-224,2.92,7,1,1,0,22.9,1
UMKM-225,10.88,4,1,1,2,50.8,1
UMKM-226,10.08,7,0,1,1,53.3,1
UMKM-227,7.09,6,0,1,1,40.2,1
UMKM-228,1.66,5,0,0,1,17.0,1
UMKM-229,4.92,3,0,0,3,27.8,0
UMKM-230,4.68,3,0,1,2,21.2,1
UMKM-231,4.83,3,1,0,2,35.6,1
UMKM-232,8.43,5,0,0,2,37.1,1
UMKM-233,4.83,2,1,0,1,25.4,0
UMKM-234,5.91,5,1,0,3,36.3,1
UMKM-235,1.5,2,0,1,3,17.0,1
UMKM-236,4.74,6,1,1,0,28.4,1
UMKM-237,4.91,4,0,0,2,30.8,1
UMKM-238,10.25,7,0,1,2,50.3,1
UMKM-239,7.29,6,0,0,1,40.9,1
UMKM-240,6.47,2,0,1,3,46.8,1
UMKM-241,5.98,1,1,0,3,34.4,0
UMKM-242,5.64,2,1,1,2,31.4,1
UMKM-243,8.62,4,0,0,3,49.4,1
UMKM-244,7.13,4,1,1,1,41.2,1
UMKM-245,5.66,5,0,1,1,30.6,1
UMKM-246,5.48,7,1,1,1,25.2,1
UMKM-247,5.29,2,1,1,1,27.7,1
UMKM-248,3.25,8,0,1,2,24.3,0
UMKM-249,7.73,3,1,1,0,37.9,1
UMKM-250,4.08,7,0,1,1,25.9,1
