customer_id,annual_income_million,spending_score_1_100,purchase_frequency_yearly,avg_basket_items,tech_savviness_index
SEG-7115,33.5,82.2,25,2.2,100.0
SEG-7116,63.7,50.5,25,5.0,43.7
SEG-7117,38.3,22.3,11,3.2,49.6
SEG-7118,130.3,72.9,47,11.1,69.7
SEG-7119,41.1,71.1,14,1.4,87.2
SEG-7120,87.2,44.3,16,4.8,65.9
SEG-7121,39.9,25.3,19,3.4,49.3
SEG-7122,106.7,78.1,33,6.6,89.4
SEG-7123,57.4,71.7,27,3.1,91.0
SEG-7124,70.5,50.9,24,4.1,30.4
SEG-7125,15.5,27.8,10,2.9,27.8
SEG-7126,100.0,86.0,45,6.9,75.8
SEG-7127,83.9,75.5,29,1.7,88.1
SEG-7128,65.8,36.5,22,3.6,51.1
SEG-7129,27.0,11.7,7,3.3,34.7
SEG-7130,115.4,83.8,48,9.7,79.8
SEG-7131,37.7,79.9,36,2.3,91.7
SEG-7132,67.1,46.5,25,4.5,67.2
SEG-7133,39.1,42.2,9,4.1,53.0
SEG-7134,89.4,89.5,51,7.6,65.3
SEG-7135,66.2,65.0,28,1.4,95.0
SEG-7136,42.5,42.1,18,5.0,42.2
SEG-7137,39.6,28.9,10,3.0,17.5
SEG-7138,160.1,83.2,51,8.8,85.4
SEG-7139,65.3,71.6,38,3.4,93.0
SEG-7140,67.6,57.8,24,4.6,55.9
SEG-7141,36.3,31.1,10,3.8,64.6
SEG-7142,134.8,84.5,50,7.8,76.0
SEG-7143,43.6,64.3,37,2.2,82.7
SEG-7144,77.7,51.6,23,3.4,46.6
SEG-7145,52.6,20.2,13,3.3,31.1
SEG-7146,83.1,89.0,41,8.1,93.3
SEG-7147,30.7,77.4,39,3.0,90.6
SEG-7148,77.0,54.2,16,3.2,70.4
SEG-7149,35.5,39.6,10,4.0,53.3
SEG-7150,132.3,85.2,35,8.1,81.1
SEG-7151,55.3,67.5,31,3.6,87.6
SEG-7152,78.0,29.1,25,5.3,49.1
SEG-7153,40.5,25.8,17,3.3,48.9
SEG-7154,116.4,76.0,71,8.8,87.4
SEG-7155,56.3,63.3,19,1.5,98.6
SEG-7156,77.5,44.6,13,4.0,58.8
SEG-7157,22.7,32.0,9,3.0,44.0
SEG-7158,65.3,91.5,45,5.2,81.9
SEG-7159,50.0,67.7,32,3.2,93.7
SEG-7160,48.8,41.2,10,5.2,48.0
SEG-7161,37.8,31.4,14,3.4,42.4
SEG-7162,79.5,100.0,67,8.4,88.5
SEG-7163,37.7,74.1,30,2.1,100.0
SEG-7164,74.7,41.8,19,5.3,40.9
SEG-7165,39.8,24.7,14,3.5,38.5
SEG-7166,103.3,96.1,49,9.4,89.8
SEG-7167,53.6,67.1,44,2.4,98.4
SEG-7168,68.7,59.1,16,3.4,56.6
SEG-7169,30.2,30.3,13,2.0,37.6
SEG-7170,85.0,79.0,44,7.6,94.3
SEG-7171,61.3,69.5,40,3.0,93.0
SEG-7172,64.5,67.4,26,3.7,61.9
SEG-7173,26.7,32.2,8,2.7,38.8
SEG-7174,132.0,76.6,45,5.3,91.8
SEG-7175,15.0,79.8,31,2.2,97.5
SEG-7176,86.9,58.7,28,5.4,55.4
SEG-7177,37.6,33.8,11,1.3,28.2
SEG-7178,165.1,78.4,38,9.9,92.2
SEG-7179,63.4,79.4,13,3.8,90.1
SEG-7180,86.3,49.4,18,4.7,58.0
SEG-7181,51.5,14.7,13,4.6,39.9
SEG-7182,120.9,75.6,61,6.8,90.2
SEG-7183,25.5,69.4,31,1.8,90.7
SEG-7184,49.9,48.9,14,3.7,63.2
SEG-7185,16.0,30.0,9,4.5,39.7
SEG-7186,97.9,85.9,54,4.8,79.9
SEG-7187,73.9,67.6,20,1.5,90.3
SEG-7188,51.2,52.5,12,4.4,57.7
SEG-7189,28.9,23.1,9,2.5,57.3
SEG-7190,130.6,88.4,55,9.1,82.6
SEG-7191,63.7,75.5,43,2.6,92.2
SEG-7192,93.4,56.2,17,5.6,44.6
SEG-7193,32.5,26.4,12,3.1,35.4
SEG-7194,130.0,89.4,38,8.5,88.9
SEG-7195,62.4,81.5,33,2.9,95.6
SEG-7196,76.9,42.9,24,4.2,53.0
SEG-7197,38.4,25.5,9,3.6,37.4
SEG-7198,131.5,74.4,58,9.2,88.7
SEG-7199,55.3,64.7,16,2.5,90.1
SEG-7200,74.9,58.4,24,3.8,67.6
