module_id,team,lines_of_code,cyclomatic_complexity,code_coverage_pct,pr_review_time_hrs,defect_count,defect_density_kloc
MOD_032,Mobile App,1417,25.4,74.0,24.5,8,5.65
MOD_033,Mobile App,1678,28.9,96.7,24.2,8,4.77
MOD_034,Frontend,796,16.9,79.5,15.8,5,6.28
MOD_035,Backend,2218,39.2,84.6,34.7,13,5.86
MOD_036,Mobile App,2364,39.9,62.7,36.8,9,3.81
MOD_037,Mobile App,1447,25.6,99.0,24.6,7,4.84
MOD_038,Backend,750,15.4,99.0,18.3,2,2.67
MOD_039,Mobile App,2211,38.8,94.4,36.0,11,4.98
MOD_040,Frontend,391,10.9,87.9,12.8,3,7.67
MOD_041,Backend,2191,39.4,78.2,40.1,12,5.48
MOD_042,Frontend,1513,25.4,83.3,25.1,11,7.27
MOD_043,Frontend,2289,37.8,90.6,33.4,9,3.93
MOD_044,Frontend,1540,29.6,70.5,31.4,5,3.25
MOD_045,Frontend,1628,27.8,72.7,28.6,8,4.91
MOD_046,Backend,925,21.6,58.0,24.9,6,6.49
MOD_047,Frontend,184,10.6,68.7,12.3,3,16.3
MOD_048,Frontend,2403,43.8,97.9,41.0,11,4.58
MOD_049,Mobile App,2105,34.8,74.0,28.9,11,5.23
MOD_050,Backend,1735,31.2,74.2,30.5,6,3.46
MOD_051,Backend,1171,21.6,81.8,21.0,6,5.12
MOD_052,Core Engine,1279,26.0,58.7,22.1,9,7.04
MOD_053,Backend,1650,33.2,89.3,32.6,5,3.03
MOD_054,Backend,852,19.5,93.2,16.0,2,2.35
MOD_055,Core Engine,1729,31.0,82.5,25.0,9,5.21
MOD_056,Backend,311,8.9,97.8,11.8,1,3.22
MOD_057,Backend,351,11.6,62.1,14.4,2,5.7
MOD_058,Backend,2131,34.5,99.0,33.5,3,1.41
MOD_059,Backend,1145,23.2,69.2,24.0,9,7.86
MOD_060,Core Engine,2467,40.2,62.6,39.1,11,4.46
MOD_061,Backend,965,20.7,75.2,22.0,9,9.33
MOD_062,Backend,605,13.8,99.0,14.8,0,0.0
MOD_063,Core Engine,1425,25.6,77.8,24.3,8,5.61
MOD_064,Mobile App,1166,20.7,66.8,20.0,3,2.57
MOD_065,Frontend,2493,41.7,62.5,38.0,14,5.62
MOD_066,Mobile App,487,13.4,76.7,12.5,4,8.21
MOD_067,Core Engine,1028,22.5,54.1,22.7,10,9.73
MOD_068,Frontend,1226,24.4,62.4,23.3,4,3.26
MOD_069,Core Engine,941,21.8,96.5,22.0,5,5.31
MOD_070,Core Engine,2414,45.0,93.9,40.6,13,5.39
MOD_071,Backend,913,18.0,76.5,13.5,4,4.38
MOD_072,Frontend,2385,40.4,72.4,34.5,9,3.77
MOD_073,Backend,529,10.1,78.7,11.9,0,0.0
MOD_074,Frontend,642,17.0,99.0,17.5,4,6.23
MOD_075,Core Engine,1330,27.5,82.9,26.5,9,6.77
MOD_076,Core Engine,2212,36.4,88.9,33.7,12,5.42
MOD_077,Mobile App,214,9.4,75.6,14.6,3,14.02
MOD_078,Frontend,1517,30.2,78.7,28.8,9,5.93
MOD_079,Backend,1302,25.0,85.8,23.4,10,7.68
MOD_080,Mobile App,2177,39.3,79.5,32.2,12,5.51
MOD_081,Mobile App,1645,30.0,55.2,25.3,6,3.65
MOD_082,Mobile App,1312,22.2,93.4,22.8,7,5.34
MOD_083,Backend,1672,32.2,70.6,31.9,15,8.97
MOD_084,Mobile App,541,15.8,99.0,19.7,3,5.55
MOD_085,Backend,1848,34.2,86.2,29.7,5,2.71
MOD_086,Mobile App,568,11.6,78.9,12.7,4,7.04
MOD_087,Backend,2486,40.8,83.3,37.1,6,2.41
MOD_088,Core Engine,528,10.7,76.7,16.7,4,7.58
MOD_089,Core Engine,1946,35.7,72.2,32.8,17,8.74
MOD_090,Core Engine,2428,44.0,80.5,42.3,14,5.77
MOD_091,Core Engine,2238,39.4,88.6,35.9,8,3.57
MOD_092,Core Engine,2332,41.9,72.4,39.8,9,3.86
MOD_093,Mobile App,350,8.5,70.5,12.9,2,5.71
MOD_094,Mobile App,2013,35.5,73.7,32.7,7,3.48
MOD_095,Mobile App,929,16.2,89.4,14.9,4,4.31
MOD_096,Backend,652,13.2,95.4,14.0,3,4.6
MOD_097,Backend,1901,35.3,82.3,35.2,11,5.79
MOD_098,Backend,954,18.8,85.0,20.8,4,4.19
MOD_099,Backend,2296,41.9,70.4,36.7,9,3.92
MOD_100,Core Engine,2045,36.8,88.5,32.8,10,4.89
MOD_101,Core Engine,1720,36.3,84.6,29.6,11,6.4
MOD_102,Core Engine,1110,21.8,69.5,24.3,15,13.51
MOD_103,Frontend,1635,26.7,56.5,27.1,7,4.28
MOD_104,Mobile App,1178,22.6,63.4,21.8,4,3.4
MOD_105,Backend,652,12.9,70.0,14.7,7,10.74
MOD_106,Backend,547,15.2,91.9,11.8,6,10.97
MOD_107,Core Engine,1020,20.4,96.6,19.3,5,4.9
MOD_108,Backend,542,12.9,72.7,17.0,3,5.54
MOD_109,Backend,356,10.1,73.1,14.0,6,16.85
MOD_110,Mobile App,1188,24.3,81.1,24.1,5,4.21
MOD_111,Core Engine,2031,34.6,78.1,31.7,10,4.92
MOD_112,Mobile App,1634,31.1,89.2,30.5,10,6.12
MOD_113,Frontend,1013,22.3,71.7,21.3,4,3.95
MOD_114,Frontend,713,15.0,89.4,12.7,4,5.61
MOD_115,Frontend,1170,20.7,75.1,20.5,7,5.98
MOD_116,Core Engine,245,7.6,88.2,10.9,3,12.24
MOD_117,Backend,2073,37.5,74.7,36.2,6,2.89
MOD_118,Core Engine,1907,33.8,70.6,28.2,12,6.29
MOD_119,Core Engine,2428,42.7,99.0,37.9,8,3.29
MOD_120,Backend,1828,35.9,90.8,32.6,6,3.28
