tenant_id,subscription_tier,tenure_months,churn_event,monthly_active_days,unresolved_tickets
TNT_0090,Free,0.0,1,9,1
TNT_0091,Pro,0.6,1,20,1
TNT_0092,Enterprise,24.0,0,19,1
TNT_0093,Pro,24.0,0,19,0
TNT_0094,Free,3.6,1,22,1
TNT_0095,Pro,24.0,0,2,4
TNT_0096,Pro,24.0,0,16,2
TNT_0097,Pro,24.0,0,19,0
TNT_0098,Free,11.1,1,26,2
TNT_0099,Free,8.6,1,8,0
TNT_0100,Pro,3.3,1,17,1
TNT_0101,Free,10.8,1,17,1
TNT_0102,Free,1.3,1,16,1
TNT_0103,Free,13.4,1,7,2
TNT_0104,Pro,11.0,1,10,3
TNT_0105,Enterprise,24.0,0,8,2
TNT_0106,Pro,12.4,1,15,0
TNT_0107,Free,0.6,1,12,1
TNT_0108,Free,2.1,1,22,0
TNT_0109,Enterprise,24.0,0,17,1
TNT_0110,Enterprise,24.0,0,26,2
TNT_0111,Enterprise,13.9,1,7,2
TNT_0112,Pro,24.0,0,23,0
TNT_0113,Free,11.2,1,28,0
TNT_0114,Pro,17.0,1,17,1
TNT_0115,Free,0.2,1,21,0
TNT_0116,Free,13.9,1,17,0
TNT_0117,Pro,14.7,1,13,2
TNT_0118,Free,12.2,1,18,0
TNT_0119,Free,10.8,1,6,0
TNT_0120,Free,10.7,1,28,2
TNT_0121,Free,7.2,1,26,2
TNT_0122,Enterprise,12.4,1,14,3
TNT_0123,Free,2.5,1,9,1
TNT_0124,Free,2.2,1,25,2
TNT_0125,Free,0.1,1,6,1
TNT_0126,Free,5.2,1,13,2
TNT_0127,Free,7.2,1,10,1
TNT_0128,Pro,24.0,0,4,3
TNT_0129,Free,0.9,1,4,1
TNT_0130,Pro,14.1,1,2,1
TNT_0131,Enterprise,0.3,1,26,4
TNT_0132,Pro,1.8,1,23,0
TNT_0133,Free,0.3,1,19,2
TNT_0134,Free,7.8,1,25,2
TNT_0135,Enterprise,3.0,1,13,1
TNT_0136,Pro,22.7,1,10,4
TNT_0137,Pro,5.2,1,10,2
TNT_0138,Enterprise,24.0,0,19,4
TNT_0139,Enterprise,24.0,0,19,0
TNT_0140,Enterprise,24.0,0,8,1
TNT_0141,Pro,24.0,0,28,3
TNT_0142,Free,16.2,1,5,3
TNT_0143,Enterprise,24.0,0,14,1
TNT_0144,Pro,21.3,1,18,0
TNT_0145,Free,1.1,1,25,1
TNT_0146,Pro,5.7,1,3,2
TNT_0147,Pro,4.3,1,15,2
TNT_0148,Enterprise,24.0,0,4,2
TNT_0149,Pro,12.6,1,6,1
TNT_0150,Free,12.1,1,15,1
TNT_0151,Enterprise,24.0,0,4,3
TNT_0152,Pro,9.3,1,24,3
TNT_0153,Pro,12.7,1,8,2
TNT_0154,Free,21.4,1,19,3
TNT_0155,Free,1.9,1,14,2
TNT_0156,Pro,24.0,0,24,2
TNT_0157,Free,1.5,1,28,1
TNT_0158,Free,6.9,1,23,0
TNT_0159,Pro,5.3,1,11,1
TNT_0160,Free,12.9,1,26,2
TNT_0161,Free,4.9,1,14,3
TNT_0162,Free,1.2,1,17,2
TNT_0163,Free,1.5,1,10,1
TNT_0164,Pro,12.3,1,3,1
TNT_0165,Free,19.6,1,24,0
TNT_0166,Free,8.8,1,6,0
TNT_0167,Pro,12.1,1,23,3
TNT_0168,Enterprise,14.8,1,18,1
TNT_0169,Pro,14.3,1,24,2
TNT_0170,Free,8.3,1,23,2
TNT_0171,Free,9.2,1,5,1
TNT_0172,Enterprise,14.1,1,18,1
TNT_0173,Free,7.7,1,10,2
TNT_0174,Pro,19.3,1,21,2
TNT_0175,Free,19.2,1,3,1
TNT_0176,Free,16.0,1,25,2
TNT_0177,Pro,24.0,0,19,1
TNT_0178,Pro,23.1,1,22,0
TNT_0179,Pro,5.8,1,28,0
TNT_0180,Free,11.2,1,23,0
TNT_0181,Free,3.3,1,12,4
TNT_0182,Pro,5.7,1,14,3
TNT_0183,Pro,8.7,1,9,3
TNT_0184,Free,10.8,1,28,0
TNT_0185,Free,1.0,1,2,2
TNT_0186,Free,3.7,1,18,2
TNT_0187,Enterprise,24.0,0,13,2
TNT_0188,Pro,0.7,1,5,3
TNT_0189,Enterprise,7.8,1,22,2
TNT_0190,Free,10.5,1,14,1
TNT_0191,Enterprise,24.0,0,10,1
TNT_0192,Free,2.1,1,28,0
TNT_0193,Pro,24.0,0,8,1
TNT_0194,Pro,24.0,0,24,1
TNT_0195,Free,3.2,1,25,1
TNT_0196,Free,8.3,1,6,0
TNT_0197,Free,19.5,1,6,0
TNT_0198,Free,3.7,1,18,2
TNT_0199,Pro,4.9,1,10,3
TNT_0200,Pro,24.0,0,7,1
