experiment_id,binomial_heads_in_10,poisson_server_reqs_per_min,normal_measurement_error,exponential_response_time_ms,dice_roll_sum_2d6
EXP-1126,4,11,0.477,60.77,4
EXP-1127,7,14,-0.081,47.62,8
EXP-1128,4,19,0.524,24.35,3
EXP-1129,4,14,-0.087,203.35,10
EXP-1130,8,11,-1.763,37.75,4
EXP-1131,6,15,0.042,26.64,6
EXP-1132,6,16,-0.955,16.76,7
EXP-1133,5,7,0.226,49.09,4
EXP-1134,2,13,1.185,8.09,9
EXP-1135,6,5,0.425,57.81,7
EXP-1136,4,15,0.203,65.93,12
EXP-1137,3,10,-0.76,8.85,9
EXP-1138,4,12,0.922,14.51,7
EXP-1139,4,13,-0.539,2.04,6
EXP-1140,2,13,-0.669,94.03,11
EXP-1141,5,16,-0.535,69.34,9
EXP-1142,5,3,-1.001,36.67,6
EXP-1143,5,6,-1.226,9.38,11
EXP-1144,5,12,-2.217,53.53,8
EXP-1145,8,13,-1.514,64.53,5
EXP-1146,7,10,0.857,80.64,9
EXP-1147,4,11,-1.138,111.95,11
EXP-1148,5,13,0.571,27.4,6
EXP-1149,3,11,1.15,53.86,6
EXP-1150,8,2,-1.208,11.52,7
